name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,n_imputed
K2-382 b,k2,NON_HABITABLE,2.072,563.4656360729667,23.84015189952175,21.700156,0.148192216769763,0.0,5452.0,0.811,0.922,0.5235519812247291,G,-1.0276687579221093,4
K2-383 b,k2,NON_HABITABLE,1.564,1168.1120228421105,440.32896460489854,1.865962,0.03025381695881623,0.0,5129.0,0.804,1.061,0.40303021299917074,K,-1.2442626828414751,4
K2-384 b,k2,NON_HABITABLE,1.076,621.3202623423983,35.245310917067826,2.231527,0.023094714305167817,0.0,3623.0,0.348,0.33,0.01879864446991103,M,-1.077789646098936,4
K2-384 c,k2,NON_HABITABLE,1.191,503.4391504006156,15.192429216108886,4.194766,0.035176259492805895,0.0,3623.0,0.348,0.33,0.01879864446991103,M,-0.9563429938050703,4
K2-384 d,k2,NON_HABITABLE,1.392,431.1216211498,8.170309209738365,6.679582,0.04796716163674663,0.0,3623.0,0.348,0.33,0.01879864446991103,M,-0.8277657115887609,4
K2-384 e,k2,NON_HABITABLE,1.345,380.51167793847,4.958053830353113,9.715043,0.06157545764912129,0.0,3623.0,0.348,0.33,0.01879864446991103,M,-0.690971785939424,4
K2-384 f,k2,HABITABILITY_ZONE,2.222,339.92069672272277,3.1575461819599497,13.62749,0.07715932355004237,0.0,3623.0,0.348,0.33,0.01879864446991103,M,-0.5343189477412167,4
K2-385 b,k2,NON_HABITABLE,1.539,1012.0812867222996,248.14233109539833,2.380867,0.03402435115827632,0.0,4844.0,0.761,0.927,0.28726357550565934,K,-1.2224498497779546,4
K2-386 b,k2,NON_HABITABLE,2.32,928.8945153215845,176.07790918608572,7.473223,0.07251891043938972,0.0,5749.0,0.97,0.911,0.9259923811669365,G,-1.2060772556261987,4
K2-387 b,k2,HABITABILITY_ZONE,7.322,309.3490540286371,2.16588028187693,28.735327,0.15223303223910248,0.0,3572.0,0.585,0.57,0.05019405050774135,M,-0.3734405111829515,4
K2-388 b,k2,NON_HABITABLE,3.9,874.0,138.0,6.33932,0.06543286699947456,0.0,5310.0,0.91,0.93,0.5931377689587526,G,-1.192846716753451,2
K2-389 b,k2,NON_HABITABLE,2.33,932.0,179.0,8.58289,0.0817662247268452,0.0,5773.0,1.094,0.99,1.1976656237449699,G,-1.206968210050832,2
K2-389 c,k2,NON_HABITABLE,2.04,716.5771644085836,62.357850257626886,20.851337,0.13774861618185652,0.0,5782.0,1.084,0.802,1.1832203326983033,G,-1.1354090820992355,4
K2-39 b,k2,NON_HABITABLE,6.27704,1711.1322662676107,2027.5594693643945,4.60543,0.04716660520385823,0.0,4881.0,2.97,0.66,4.51068853151059,K,-1.2793350499377978,4
K2-390 b,k2,NON_HABITABLE,4.662,1203.8530620789006,496.7446578639518,3.312792,0.040187867694485395,0.0,5558.0,0.966,0.789,0.8022747667123791,G,-1.2481047611308136,4
K2-391 b,k2,NON_HABITABLE,1.371,828.1021605541962,111.2179662442645,4.622654,0.04949554024226477,0.0,5543.0,0.566,0.757,0.27246271948873185,G,-1.1792544259368616,4
K2-392 b,k2,NON_HABITABLE,1.85,769.5033984574438,82.92422991273384,15.398723,0.11433915720201333,0.0,5726.0,1.058,0.841,1.0841051822752337,G,-1.1585922631844559,4
K2-393 b,k2,NON_HABITABLE,2.352,867.914477207453,134.19829832817896,10.413181,0.08946519192164978,0.0,5678.0,1.071,0.881,1.0741259396842666,G,-1.1909691631398351,4
K2-394 b,k2,NON_HABITABLE,1.692,814.0853669576834,103.87692189797433,5.095717,0.04531263831361343,0.0,4938.0,0.631,0.478,0.21328375156748292,K,-1.1747153192709323,4
K2-395 b,k2,NON_HABITABLE,2.597,836.0805285806342,115.56643476384221,4.803352,0.054808566360372235,0.0,5007.0,0.783,0.952,0.3471591369502586,K,-1.1817367455859256,4
K2-395 c,k2,NON_HABITABLE,3.395,691.4675849931864,54.06629149477334,8.491282,0.08013108241209146,0.0,5007.0,0.783,0.952,0.3471591369502586,K,-1.122503042027161,4
K2-396 b,k2,NON_HABITABLE,1.579,1823.290068843206,2613.739758121228,0.673862,0.014808234603627023,0.0,5236.0,0.92,0.954,0.5731508179355735,G,-1.2829849076484487,4
K2-396 c,k2,NON_HABITABLE,3.124,541.2458794335381,20.29633817470683,25.76051,0.16804500697208585,0.0,5236.0,0.92,0.954,0.5731508179355735,G,-1.004016598564116,4
K2-397 b,k2,NON_HABITABLE,2.417,1105.704757760456,353.50535059704,3.572326,0.04475282311703829,0.0,5387.0,0.966,0.937,0.7080058813069855,G,-1.2366392607455545,4
K2-398 b,k2,NON_HABITABLE,2.274,1136.8340037732444,395.027653790079,6.393025,0.06615378867602505,0.0,5946.0,1.239,0.945,1.7287689056343825,G,-1.2405987829814422,4
K2-398 c,k2,NON_HABITABLE,5.098,793.6705145119172,93.84264998529696,18.787839,0.13572765310940973,0.0,5946.0,1.239,0.945,1.7287689056343825,G,-1.1676691567463968,4
K2-4 b,k2,NON_HABITABLE,2.1,506.782173763048,15.6,10.003417,0.078,0.08,4014.73,0.569359,0.635026,0.07587390972368123,K,-0.9196648041508703,1
K2-400 b,k2,NON_HABITABLE,1.163,524.2666102073906,17.86685341163588,3.865053,0.03472700690488277,0.0,3578.0,0.382,0.374,0.021546800027714124,M,-0.9838797905895834,4
K2-401 b,k2,NON_HABITABLE,2.262,605.9626855817522,31.887671325682422,6.293099,0.0636828723748665,0.0,4213.0,0.675,0.87,0.12932071362163358,K,-1.0658730754841823,4
K2-402 b,k2,NON_HABITABLE,2.678,797.6431359214353,95.73567578378804,17.27474,0.12829356145864218,0.0,5716.0,1.28,0.944,1.5757362643668027,G,-1.1690828067655294,4
K2-403 b,k2,NON_HABITABLE,5.333,528.7316201420326,18.483338313122843,33.589979,0.18786751581713287,0.0,5511.0,0.886,0.784,0.6523547037697784,G,-0.9893635930100896,4
K2-404 b,k2,NON_HABITABLE,2.53,411.7147382739643,6.795555028820252,13.115365,0.08928389550233365,0.0,3748.0,0.552,0.552,0.05417154157881851,K,-0.7812378272087068,4
K2-405 b,k2,NON_HABITABLE,4.569,896.8951880636445,153.04038663614352,3.435471,0.04505789387145895,0.0,4927.0,0.765,1.034,0.31070470492618313,K,-1.198533595564071,4
K2-406 b,k2,NON_HABITABLE,4.602,658.0947008168437,44.360134394073924,22.549406,0.1448874886400736,0.0,5784.0,0.961,0.798,0.9312249916580579,G,-1.1030103002993337,4
K2-407 b,k2,NON_HABITABLE,1.283,1014.219646552377,250.24612109843872,4.941907,0.054432907428790034,0.0,5563.0,0.927,0.881,0.7414645951825284,G,-1.2228183999322508,4
K2-407 c,k2,NON_HABITABLE,1.36,823.7247704285593,108.88493146070158,9.22453,0.0825203987999903,0.0,5563.0,0.927,0.881,0.7414645951825284,G,-1.1778617361129124,4
K2-408 b,k2,NON_HABITABLE,1.677,559.877892278218,23.23873878040533,20.978959,0.1389395820951156,0.0,5335.0,0.784,0.813,0.4486054348223429,G,-1.0240394886223714,4
K2-409 b,k2,NON_HABITABLE,2.482,1653.1091162394007,1766.2222914173526,1.908084,0.02891674581419447,0.0,5742.0,1.228,0.886,1.4768765560951842,G,-1.2771486734848498,4
K2-411 b,k2,NON_HABITABLE,0.9898,1271.9484421694349,619.038,3.2141,0.0511,0.0,5711.0,1.375,1.018,1.8119605888862491,G,-1.2576227554172867,2
K2-412 b,k2,NON_HABITABLE,2.116,1007.3327354149974,243.518,5.9382,0.0586,0.0,5590.0,0.977,0.893,0.8397133722747685,G,-1.2218063422530276,2
K2-413 b,k2,NON_HABITABLE,0.7599,1405.0573656091522,921.755,0.8094,0.0117,0.0,4116.0,0.7,0.808,0.12670456280487521,K,-1.2646415092022492,2
K2-413 c,k2,NON_HABITABLE,1.2327,736.3455663895231,69.529,5.3301,0.0426,0.0,4116.0,0.7,0.808,0.12670456280487521,K,-1.1449981261978925,2
K2-414 b,k2,NON_HABITABLE,1.219,743.0936861197015,72.113,4.3696,0.0487,0.0,4343.0,0.732,0.814,0.1717418709904707,K,-1.1479798556969336,2
K2-414 c,k2,NON_HABITABLE,1.9287,697.9735111475713,56.13,6.669,0.0552,0.0,4343.0,0.732,0.814,0.1717418709904707,K,-1.126362548503414,2
K2-415 b,k2,NON_HABITABLE,1.015,412.4,4.82,4.0179694,0.027,0.0,3173.0,0.1965,0.1635,0.003526144521073496,M,-0.6832717306795182,1
K2-416 b,k2,NON_HABITABLE,2.66,447.0,7.03104678275781,13.102,0.088,0.0,3746.0,0.554,0.548,0.05444842628567647,K,-0.7901672338231764,2
K2-417 b,k2,NON_HABITABLE,3.31,558.0,16.829343973552078,6.535,0.063,0.0,3861.0,0.5776,0.569,0.0667956662310282,K,-0.9739793760763518,2
K2-419 A b,k2,HABITABILITY_ZONE,10.55,377.0,3.3,20.35847252,0.1208,0.042,3711.0,0.541,0.562,0.05000956281185833,K,-0.5654398829288424,0
K2-42 b,k2,NON_HABITABLE,2.15,657.1277807170708,44.1,6.68796,0.0617,0.0,4613.0,0.643,0.702,0.16867490514325348,K,-1.1028881167406956,2
K2-43 b,k2,NON_HABITABLE,4.51,939.3,41.56120645914745,3.471149,0.037222087341905775,0.0,3840.6,0.542,0.571,0.057582377679423855,K,-1.0961558969226892,3
K2-43 c,k2,NON_HABITABLE,2.42,1093.7,76.39226650773836,2.198884,0.027454914725153906,0.0,3840.6,0.542,0.571,0.057582377679423855,K,-1.1522542871000716,3
K2-44 b,k2,NON_HABITABLE,2.433,1340.2974819910855,763.2100578218033,5.657,0.06,0.0,5912.0,1.58,1.15,2.7475562081584917,G,-1.2600544311242214,3
K2-45 b,k2,NON_HABITABLE,6.71,806.3808033429368,100.0,1.7292684,0.0224,0.0,4103.0,0.445,0.503,0.05056159902095199,K,-1.1726454549488683,2
K2-46 b,k2,NON_HABITABLE,2.05,842.222657765859,119.0,19.1541,0.13821,0.0,6256.0,1.29,0.96,2.296471664324984,F,-1.184243379563827,2
K2-47 b,k2,NON_HABITABLE,1.89,461.1966296228959,10.7,31.6372,0.1779,0.0,5054.0,0.76,0.75,0.33951803227357774,K,-0.889148094434435,2
K2-48 b,k2,NON_HABITABLE,2.24,504.3279506818766,15.3,20.5065,0.1344,0.0,4899.0,0.73,0.77,0.27654778756496223,K,-0.957701884747215,2
K2-49 b,k2,NON_HABITABLE,1.93,706.7294406313891,59.0,2.77065,0.0309,0.0,4175.0,0.45,0.51,0.055430099368322515,K,-1.1290544453809757,2
K2-5 b,k2,NON_HABITABLE,1.91,565.0,24.1,5.73594,0.0532,0.0,3930.0,0.57,0.61,0.06982559147066843,K,-1.0324640324562444,1
K2-5 c,k2,NON_HABITABLE,2.26,456.0,10.2,10.93241,0.0818,0.0,3930.0,0.57,0.61,0.06982559147066843,K,-0.8832928082060364,1
K2-50 b,k2,NON_HABITABLE,1.59,530.9818089819723,18.8,8.7529,0.0705,0.0,4326.0,0.546,0.611,0.09406456601533772,K,-0.9931307903756837,2
K2-52 b,k2,NON_HABITABLE,18.0,2004.0,3873.3203599130065,3.535055,0.054,0.0,7147.0,2.192,1.691,11.294602169506327,F,-1.2877979168851779,2
K2-53 b,k2,NON_HABITABLE,2.6,665.0,46.87303863860932,12.20772,0.098,0.0,5263.0,0.807,0.851,0.45016866308520403,G,-1.10863363716603,2
K2-54 b,k2,NON_HABITABLE,2.6116925,560.0,16.30192629928568,9.7833,0.0761,0.24,3990.0,0.643,0.615,0.09440787860368621,K,-0.9685879001233167,1
K2-55 b,k2,NON_HABITABLE,4.43,900.0,141.3,2.849271,0.0347236338630652,0.0,4300.0,0.715,0.688,0.15746375952852598,K,-1.189339516922344,2
K2-57 b,k2,NON_HABITABLE,2.30905002,635.8,27.20443929976533,9.0073,0.0752,0.25,4413.0,0.671,0.699,0.15384219241774494,K,-1.0456985768541467,1
K2-58 b,k2,NON_HABITABLE,2.68,840.4476791807411,118.0,7.05254,0.0692,0.0,5413.0,0.86,0.89,0.5720628180558761,G,-1.1838446851429871,2
K2-58 c,k2,NON_HABITABLE,1.62,1182.226457386574,462.0,2.53726,0.035,0.0,5413.0,0.86,0.89,0.5720628180558761,G,-1.2461651347588978,2
K2-58 d,k2,NON_HABITABLE,1.71,567.9027310431292,24.6,22.8827,0.1517,0.0,5413.0,0.86,0.89,0.5720628180558761,G,-1.0335102672098697,2
K2-59 b,k2,NON_HABITABLE,2.41,518.5482918990285,17.1,20.6921,0.1354,0.0,5055.0,0.731,0.774,0.3143504627020361,K,-0.9771015091836904,2
K2-59 c,k2,NON_HABITABLE,2.3,634.365964645313,38.3,11.2954,0.0905,0.0,5055.0,0.731,0.774,0.3143504627020361,K,-1.0874752142836286,2
K2-6 b,k2,NON_HABITABLE,2.5,615.0,26.99406097448269,30.94191,0.1898,0.0,5850.0,0.96,0.97,0.9724351323072034,G,-1.0446708788583337,2
K2-60 b,k2,NON_HABITABLE,7.655747,1400.0,510.68897956592645,3.00265,0.045,0.0,5500.0,1.12,0.97,1.034145183621001,G,-1.248954853387057,2
K2-61 b,k2,NON_HABITABLE,1.92,1325.0,730.0,2.57336,0.03638011987167325,0.0,5748.0,0.995,0.97,0.9736613025921271,G,-1.2591290076060435,2
