name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,n_imputed
K05359.01,kepler,NON_HABITABLE,1.53,713.0,61.08,2.7200197,0.0313,0.0,3939.0,0.527,0.55,0.06023651864531192,K,-1.1341749975189124,1
K05479.01,kepler,NON_HABITABLE,5.65,855.0,126.14,18.347081,0.1354,0.0,5465.0,1.702,0.983,2.3279544957287217,G,-1.1876345591241926,1
K05480.01,kepler,NON_HABITABLE,5.78,588.0,28.34,57.140035,0.2891,0.0,5936.0,1.46,0.986,2.3843828583493423,G,-1.0519037318862297,1
K05482.01,kepler,NON_HABITABLE,2.96,547.0,21.1,31.707574649,0.1935,0.0,5861.0,0.865,0.957,0.7954516934838655,G,-1.0109232630068705,1
K05485.01,kepler,NON_HABITABLE,17.37,1528.0,1288.85,9.3589254,0.1014,0.0,5188.0,4.521,1.583,13.34023849875736,K,-1.2716800667131234,1
K05486.01,kepler,NON_HABITABLE,23.47,2292.0,6522.18,4.15472242,0.0609,0.0,6996.0,3.359,1.742,24.350838548342356,F,-1.2929340639191225,1
K05608.01,kepler,NON_HABITABLE,2.12,437.0,8.6,87.565484,0.4009,0.0,6064.0,1.069,1.121,1.3921527551681256,F,-0.8416489956399354,1
K05609.01,kepler,HABITABILITY_ZONE,2.7,258.0,1.04,535.1515,1.2454,0.0,5468.0,1.423,0.898,1.6308669588470712,G,0.034139127968787625,1
K05610.01,kepler,HABITABILITY_ZONE,152.21,248.0,0.9,495.40462,1.2628,0.0,6225.0,1.031,1.091,1.4380350251129126,F,0.14142004975210687,1
K05612.01,kepler,HABITABILITY_ZONE,2.58,223.0,0.58,353.65927,0.9524,0.0,5438.0,0.82,0.92,0.529760078897238,G,0.493514928309746,1
K05613.01,kepler,HABITABILITY_ZONE,2.41,251.0,0.94,346.4174,0.9687,0.0,5754.0,0.946,1.008,0.8838049168545993,G,0.11021711557468335,1
K05736.01,kepler,NON_HABITABLE,2.22,377.0,4.77,161.651504,0.5787,0.0,5725.0,1.289,0.988,1.6080609624810183,G,-0.6809753583700938,1
K05737.01,kepler,POTENTIALLY_HABITABLE,1.32,254.0,0.99,376.24253,1.0124,0.0,5916.0,0.96,0.976,1.0170676425540919,G,0.07363431616692373,1
K05740.01,kepler,NON_HABITABLE,1.01,674.0,48.75,21.7997515,0.1548,0.0,6122.0,0.964,1.041,1.1760399614256234,F,-1.1132062799950575,1
K05360.01,kepler,NON_HABITABLE,2.0,649.0,41.81,54.595746,0.2843,0.0,6014.0,1.699,1.027,3.402006688422848,F,-1.0975037063542616,1
K05365.01,kepler,HABITABILITY_ZONE,2.2,207.0,0.43,585.64118,1.368,0.0,5779.0,0.901,0.993,0.8157462201961968,G,0.7775970545716088,1
K05487.01,kepler,NON_HABITABLE,2.95,553.0,22.17,48.8130123,0.2713,0.0,6202.0,1.11,1.113,1.6423575658469547,F,-1.0181722755191658,1
K05616.01,kepler,NON_HABITABLE,1.71,152.0,0.12,441.61919,0.9487,0.0,4351.0,0.592,0.582,0.11316039556959763,K,2.576998129055302,1
K05618.01,kepler,HABITABILITY_ZONE,3.01,301.0,1.94,318.49078,0.9166,0.0,6026.0,1.176,1.01,1.6429557366707355,F,-0.32436025940256313,1
K05741.01,kepler,HABITABILITY_ZONE,2.12,203.0,0.41,362.0619,0.9112,0.0,5271.0,0.698,0.773,0.3388266956493168,G,0.8475587581746452,1
K05745.01,kepler,NON_HABITABLE,22.86,687.0,52.84,11.374442708,0.0933,0.0,5297.0,0.808,0.838,0.46306005989221327,G,-1.1209749167595264,1
K05747.01,kepler,HABITABILITY_ZONE,2.86,342.0,3.22,411.447056,1.1846,0.0,6519.0,1.672,1.311,4.548740700107866,F,-0.5444305487583565,1
K05748.01,kepler,NON_HABITABLE,1.19,501.0,14.87,29.9371143,0.1758,0.0,5115.0,0.866,0.808,0.46250139451273053,K,-0.9536656399232899,1
K05369.01,kepler,NON_HABITABLE,14.58,411.0,6.75,651.358046,1.8916,0.0,5122.0,6.261,2.123,24.30750671585953,K,-0.7811506976043123,1
K05371.01,kepler,NON_HABITABLE,1.14,422.0,7.53,33.3037881,0.1866,0.0,4899.0,0.713,0.818,0.2638174558390172,K,-0.8092334385191263,1
K05372.01,kepler,HABITABILITY_ZONE,1.64,337.0,3.06,212.60398,0.7026,0.0,5834.0,1.207,1.022,1.5204598262311633,G,-0.5246227485048394,1
K05373.01,kepler,NON_HABITABLE,5.0,790.0,92.03,50.550788,0.3046,0.0,5031.0,3.859,1.47,8.595309843872224,K,-1.166749160932297,1
K05375.01,kepler,NON_HABITABLE,5.94,423.0,7.54,285.374561,0.7937,0.0,5142.0,2.756,0.817,4.783892654859595,K,-0.8098029005254149,1
K05497.01,kepler,NON_HABITABLE,1.05,592.0,29.01,93.359737,0.4308,0.0,6809.0,1.673,1.224,5.420257623679842,F,-1.0549129077563764,1
K05499.01,kepler,POTENTIALLY_HABITABLE,1.19,279.0,1.43,122.58481,0.4192,0.0,5003.0,0.669,0.654,0.2526207134772562,K,-0.16043238266045265,1
K05500.01,kepler,NON_HABITABLE,1.6,531.0,18.83,84.934357,0.3805,0.0,6290.0,1.395,1.016,2.7443892362509184,F,-0.9933818400339204,1
K05502.01,kepler,HABITABILITY_ZONE,2.02,334.0,2.96,421.98194,1.2041,0.0,6760.0,1.515,1.314,4.318239838756886,F,-0.5113319660299736,1
K05622.01,kepler,HABITABILITY_ZONE,3.24,200.0,0.37,469.61309,1.117,0.0,5474.0,0.763,0.847,0.47093715790802265,G,0.9334117425374561,1
K05625.01,kepler,HABITABILITY_ZONE,3.33,306.0,2.06,116.454312,0.4142,0.0,5197.0,0.736,0.697,0.35600918779586027,K,-0.35317717394009845,1
K05626.01,kepler,HABITABILITY_ZONE,6.57,293.0,1.73,397.499229,1.1541,0.0,6423.0,1.231,1.296,2.323606080229043,F,-0.2664528203183776,1
K05628.01,kepler,NON_HABITABLE,1.32,452.0,9.9,24.9093027,0.1507,0.0,4810.0,0.685,0.751,0.2262852044753087,K,-0.8733154503352382,1
K05629.01,kepler,NON_HABITABLE,1.93,407.0,6.48,192.138741,0.6782,0.0,6065.0,1.569,1.126,3.0009849559680406,F,-0.7703678889410912,1
K05749.01,kepler,HABITABILITY_ZONE,2.31,204.0,0.41,281.95332,0.7622,0.0,4864.0,0.692,0.746,0.2414799983902804,K,0.8277956979746486,1
K05755.01,kepler,POTENTIALLY_HABITABLE,1.49,210.0,0.46,388.67155,0.9976,0.0,5354.0,0.788,0.884,0.45968529657783663,G,0.7179843234800403,1
K05379.01,kepler,NON_HABITABLE,7.58,401.0,6.12,520.655224,1.4248,0.0,5227.0,4.313,1.419,12.510181973400213,G,-0.7547446920171486,1
K05380.01,kepler,HABITABILITY_ZONE,3.24,270.0,1.25,369.93355,1.0371,0.0,6158.0,1.024,1.08,1.3584803531253211,F,-0.08357685242780802,1
K05506.01,kepler,HABITABILITY_ZONE,1.61,230.0,0.66,641.60204,1.4993,0.0,6277.0,1.031,1.085,1.4866904630397306,F,0.384802542106047,1
K05509.01,kepler,NON_HABITABLE,1.41,613.0,33.44,28.406342,0.1793,0.0,6085.0,0.936,0.952,1.0821531751669156,F,-1.07238942441371,1
K05632.01,kepler,HABITABILITY_ZONE,2.61,346.0,3.41,264.466625,0.8599,0.0,6551.0,1.236,1.213,2.5349071101260097,F,-0.5655658397301584,1
K05633.01,kepler,NON_HABITABLE,4.35,616.0,34.01,151.77884,0.6438,0.0,6328.0,3.134,1.542,14.189221769522957,F,-1.0743852868416583,1
K05635.01,kepler,NON_HABITABLE,2.23,729.0,66.64,113.993156,0.5697,0.0,7892.0,2.496,1.894,21.773697181297095,A,-1.1416734626159644,1
K05758.01,kepler,HABITABILITY_ZONE,2.7,317.0,2.37,102.493119,0.41,0.0,5166.0,0.791,0.871,0.40148126573019305,K,-0.41812267609908615,1
K05761.01,kepler,NON_HABITABLE,1.56,1379.0,854.43,6.13292733,0.0719,0.0,5877.0,2.034,1.316,4.4465109929654085,G,-1.262949034506978,1
K05762.01,kepler,NON_HABITABLE,1.37,689.0,53.17,12.63063129,0.1019,0.0,5579.0,0.798,0.892,0.5558094655858943,G,-1.121562177840496,1
K05764.01,kepler,HABITABILITY_ZONE,2.03,180.0,0.25,286.02266,0.7259,0.0,4368.0,0.637,0.624,0.1330773345854492,K,1.4325847015190183,1
K05384.01,kepler,NON_HABITABLE,9.5,1064.0,303.36,7.95445779,0.0794,0.0,6217.0,1.196,1.052,1.925220773236402,F,-1.231074330718806,1
K05385.01,kepler,HABITABILITY_ZONE,6815.75,221.0,0.56,331.70918,0.8952,0.0,5282.0,0.805,0.868,0.45444367007523645,G,0.5202896065973813,1
K05387.01,kepler,NON_HABITABLE,1.17,167.0,0.18,297.78282,0.7267,0.0,4192.0,0.59,0.577,0.09684647757075482,K,1.908453354307838,1
K05388.01,kepler,NON_HABITABLE,3.38,517.0,16.87,137.396194,0.5691,0.0,5425.0,2.655,1.304,5.50076043421362,G,-0.9755146635830766,1
K05389.01,kepler,POTENTIALLY_HABITABLE,1.73,241.0,0.8,365.739893,0.9391,0.0,5420.0,0.953,0.825,0.7061186101912035,G,0.23033544927593277,1
K05390.01,kepler,NON_HABITABLE,5.13,497.0,14.46,104.198102,0.412,0.0,5087.0,2.024,0.857,2.4715117366909616,K,-0.9487479733548443,1
K05511.01,kepler,NON_HABITABLE,1.68,590.0,28.65,74.833577,0.3555,0.0,5933.0,1.807,1.07,3.6450912836765905,G,-1.0533108263117559,1
K05512.01,kepler,NON_HABITABLE,3.02,777.0,85.95,8.5852872,0.0795,0.0,5488.0,0.818,0.913,0.5468367939998949,G,-1.1617719001539444,1
K05514.01,kepler,NON_HABITABLE,2.63,551.0,21.84,102.100752,0.4737,0.0,6359.0,1.83,1.358,4.933466570155634,F,-1.0160068024526392,1
K05515.01,kepler,NON_HABITABLE,6.46,1180.0,458.5,6.263491873,0.0651,0.0,6247.0,1.194,0.936,1.9560924989379116,F,-1.245791014206001,1
K05517.01,kepler,NON_HABITABLE,7.12,468.0,11.31,335.43143,1.1236,0.0,5172.0,4.721,1.679,14.368015108827802,K,-0.9013985840956915,1
K05518.01,kepler,HABITABILITY_ZONE,3.1,198.0,0.36,558.21886,1.2704,0.0,5679.0,0.794,0.886,0.5907764705526514,G,0.9680645101938585,1
K05638.01,kepler,HABITABILITY_ZONE,1.56,321.0,2.51,290.02002,0.9025,0.0,6452.0,1.148,1.164,2.057576169300681,F,-0.4427906692537269,1
K05639.01,kepler,NON_HABITABLE,4.92,395.0,5.77,279.21957,0.8635,0.0,5159.0,2.604,1.101,4.327516989919401,K,-0.737846882242863,1
K05640.01,kepler,NON_HABITABLE,9.56,493.0,13.93,348.665961,1.0528,0.0,5183.0,4.89,1.276,15.546665839323058,K,-0.9419384935110742,1
K05642.01,kepler,NON_HABITABLE,2.56,405.0,6.37,222.28056,0.777,0.0,6543.0,1.531,1.268,3.870372568178093,F,-0.7656024754401805,1
K05643.01,kepler,HABITABILITY_ZONE,1.62,190.0,0.31,570.01886,1.282,0.0,5496.0,0.79,0.863,0.5130217633595278,G,1.1569277610990811,1
