planet_name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,esi_overall,in_habitable_zone,potentially_habitable,n_imputed,derived_fields,discovery_year,pl_masse,disposition
KOI-K02347.01,kepler,NON_HABITABLE,0.99,1188.0,473.45,0.588001053,0.0114,0.0,3814.0,0.57,0.576,0.06193942601684509,K,-1.2468116564693004,0.05484590158217828,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02348.01,kepler,NON_HABITABLE,2.94,448.0,9.54,85.7357202,0.3877,0.0,6096.0,1.077,1.054,1.443131645768659,F,-0.8651388869312452,0.33666080694468165,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02350.01,kepler,NON_HABITABLE,1.98,1667.0,1817.38,1.078389713,0.0196,0.0,5325.0,0.985,0.857,0.7028224406108459,G,-1.2777208458429208,0.022033869114932093,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02110.01,kepler,NON_HABITABLE,1.55,1321.0,720.22,5.03728033,0.0628,0.0,6387.0,1.381,1.306,2.8593658901712082,F,-1.258757382357932,0.04007454073796538,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02111.01,kepler,NON_HABITABLE,1.37,1116.0,367.18,3.289726319,0.0424,0.0,5463.0,0.91,0.937,0.6645111875458579,G,-1.2382562679545548,0.06036379876148285,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02111.02,kepler,NON_HABITABLE,2.19,860.0,129.48,7.18644594,0.0714,0.0,5463.0,0.91,0.937,0.6645111875458579,G,-1.1892249935030093,0.09872726711448145,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02113.01,kepler,NON_HABITABLE,2.62,616.0,34.06,15.94248453,0.1194,0.0,5376.0,0.806,0.897,0.4888795085200683,G,-1.074584951427752,0.18968445670850145,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K00223.02,kepler,NON_HABITABLE,2.64,425.0,7.72,41.0081117,0.2144,0.0,5303.0,0.708,0.785,0.35714759845211375,G,-0.8154878335851183,0.37783360263486065,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02180.01,kepler,NON_HABITABLE,2.11,703.0,57.75,11.55562042,0.0983,0.0,5420.0,0.85,0.945,0.5617327023440029,G,-1.1291781017760019,0.15186855434885166,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02181.01,kepler,NON_HABITABLE,3.22,913.0,164.61,12.2885046,0.1017,0.0,5109.0,1.671,0.929,1.713922660578522,K,-1.2028773486866382,0.08008197222190144,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02182.01,kepler,NON_HABITABLE,2.31,611.0,32.91,17.13263125,0.1242,0.0,5477.0,0.794,0.876,0.5111009390437375,G,-1.0705045387201282,0.19773722866602036,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02183.01,kepler,NON_HABITABLE,2.04,647.0,41.5,19.0231361,0.1374,0.0,5569.0,0.954,0.955,0.7886790983815372,G,-1.0967062078585088,0.18082943652197644,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02183.02,kepler,NON_HABITABLE,1.35,1040.0,276.82,4.57948235,0.0532,0.0,5569.0,0.954,0.955,0.7886790983815372,G,-1.2273799289438119,0.07094590702906513,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02266.01,kepler,NON_HABITABLE,1.6,1419.0,962.58,1.003931703,0.0175,0.0,4949.0,0.741,0.715,0.2967569791532496,K,-1.2656678282167702,0.03367977800107114,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02271.01,kepler,NON_HABITABLE,2.13,379.0,4.85,55.8224775,0.2663,0.0,5162.0,0.736,0.817,0.34651523988498306,K,-0.686443557627468,0.47957349701256835,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02272.01,kepler,NON_HABITABLE,1.31,3015.0,19568.74,1.34145255,0.0287,0.0,7495.0,2.389,1.754,16.226077970761505,F,-1.300123599637523,0.005378939950018544,False,False,1,pl_orbeccen,,,CANDIDATE
KOI-K02273.01,kepler,NON_HABITABLE,0.93,1125.0,378.84,6.11010439,0.0709,0.0,6213.0,1.195,1.27,1.9170610140644908,F,-1.23936776926184,0.06155814103266934,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K00240.01,kepler,NON_HABITABLE,4.14,1217.0,517.66,4.286866229,0.0535,0.0,6228.0,1.049,1.107,1.4915578505843197,F,-1.2495679667935538,0.03970334168323701,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02351.01,kepler,NON_HABITABLE,1.68,799.0,96.27,10.27380957,0.0924,0.0,5806.0,0.899,0.996,0.827412770766893,G,-1.1699404204112336,0.1213865643055265,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02352.01,kepler,NON_HABITABLE,1.58,1180.0,459.23,13.39155154,0.1173,0.0,6197.0,2.188,1.198,6.360852577239809,F,-1.2458420959641163,0.05187832193695441,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02352.02,kepler,NON_HABITABLE,1.39,1576.0,1459.41,5.62904396,0.0658,0.0,6197.0,2.188,1.198,6.360852577239809,F,-1.2739854527445835,0.02686398632421356,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02352.03,kepler,NON_HABITABLE,1.49,1387.0,874.56,8.2562857,0.085,0.0,6197.0,2.188,1.198,6.360852577239809,F,-1.2634931721584677,0.03598375075260123,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02113.02,kepler,NON_HABITABLE,2.34,671.0,47.99,12.33087921,0.1006,0.0,5376.0,0.806,0.897,0.4888795085200683,G,-1.1116430613050778,0.16360702372334776,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02114.01,kepler,NON_HABITABLE,2.19,729.0,66.94,4.421566535,0.0471,0.0,4299.0,0.697,0.713,0.14949616329891088,K,-1.1420505169772375,0.13991931515242992,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02115.01,kepler,NON_HABITABLE,2.69,602.0,31.13,15.72585941,0.1151,0.0,5332.0,0.755,0.824,0.41509660037658114,G,-1.0637212518191395,0.19737644956431524,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02116.01,kepler,NON_HABITABLE,2.44,2199.0,5545.35,1.252753881,0.0239,0.0,5907.0,1.705,1.165,3.1886831028025178,G,-1.2914966782620845,0.01069658547811761,False,False,1,pl_orbeccen,,,CONFIRMED
